어서 오세요	Welcome
아저씨	mister
있다	to have
얼마예요?	How much is it?
뭘 드릴까요?	What can I get for you?
x 개	x items
콜라	coke
x 병	x bottles
주다	to give
여기 있어요.	Here it is.
과자	cookies; snack
주스	juice
휴지	tissue
모두	all
계란	egg
비누	soap
치약	toothpaste
칫솔	toothbrush
