어디에 있어요?	Where is this?
알다	to know
공원	park
옆	next to
x층	xth floor
고마워요	Thank you
실례합니다	Excuse me (distant)
근처	near
서점	bookstore
저기	over there
x이/가 있지요?	There is a x isn't it?
앞	in front of
길	street
건너가다	to cross
왼쪽	left side
x미터쯤	about x meter
거기	there
감사합니다	Thank you (distant)
우리 집	my house
안암역	Anam station
사거리	intersection
오른쪽	right side
문방구	stationery store
미용실	beauty salon
이발소	barbershop
버스 정류장	bus stop
지하철역	subway station
책상	desk
의자	chair
컴퓨터	computer
침대	bed
거울	mirror
시계	clock, watch
옷장	wardrobe
문	door
창문	window
달력	calendar
신문	newspaper
교실	classroom
칠판	blackboard
가방	backpack
책	book
노트	notebook
뒤	the back / behind
위	on;above
아래 / 밑	below / under
안	inside
밖	outside
사이	between
건너편	across
상자	box
똑바로 가다	to go straight ahead
이쪽 / 저쪽으로 가다	to go this way / that way
길을 건너가다	to cross the street
올라가다	to go up
내려가다	to go down
들어가다	to go inside
나가다	to go outside
삼거리	three-way junction
빌딩	building
아기	baby
맛있다	delicious
비싸다	expensive
기분이 좋다	to feel happy
사람들	people
사전	dictionary
필통	pencil case
볼펜	ball point pen
공중 전화	public phone
