여보세요	Hello (only telephone calls)
댁	house (honorific)
부인	wife
그런데요	Yes, it is
계시다	to be (t)here (honorific)
잠깐만	just a moment
X 좀 바꿔 주세요	May I speak to X?
들어오다	to come in
아마	perhaps
글쎄요	Well
제가	I
다시	again
자주	often, frequently
잘	often
그 대신	instead
전화	telephone
이메일	e-mail
x에게서	from x
제	my (humble)
바로	right away
답장	reply
기쁘다	to be glad
사장님	president (of a company)
신라 호텔	The Shilla Hotel
삼성 전자	Samsung Electronics
엘지 전자	LG Electronics
국민 은행	Kookmin Bank
현대 자동차	Hyundai Motor Company
맞는데요	That's right.
전화 번호	telephone number
어떻게 돼요?	What is ...?
가르치다	to teach
알리다	to inform
메모하다	to jot down
적다	to write
아닌데요	No, it's not.
잘못 걸었습니다	You have the wrong number.
죄송합니다	I'm sorry.
전데요	This is she/he.
실례지만	Excuse me, but
누구세요?	Who is this?
전화를 걸다	to make a telephone call
전화를 받다	to answer the telephone
전화를 바꿔 주다	to give the telephone to someone else
전화를 끊다	to hang up
통화 중이다	(telephone) to be in use
벨이 울리다	(telephone) to ring
휴대 전화	cell phone
공중 전화	public phone
문의하다	to inquire
안내	information
여행사	travel agency
부탁합니다	Please.
웬일이에요?	What's up?
딸	daughter
사용하다	to use
직장 동료	co-worker
하루에	per day
x 번	x times
가족	family
보이다	to show
사전	dictionary
빌리다	to borrow
들다	to lift up
도착하다	to arrive
