된장찌개	bean-paste pot stew
비빔밥	rice mixed with cooked vegetables
여기요	Excuse me
주문하시겠어요?	Can i take your order?
이거	this (colloquial form)
불고기	grilled beef
그러면	then
음식	food
좋아하다	to like
조금	a little
그렇지만	however
아주	very, really
특히	especially
갈비	roasted ribs
냉면	cold noodles
김치찌개	stew with kimchi
삼계탕	chicken soup with ginseng
갈비탕	beef-rib soup
김밥	rice rolled in dried laver
칼국수	handmade noodle
맵다	to be spicy
짜다	to be salty
싱겁다	to be bland
달다	to be sweet
시다	to be sour
쓰다	to be bitter
그래서	therefore
음료수	beverage
제일	the most
팔다	to sell
