공항	airport
기차	train
배 (not body)	boat
버스	bus
비행기	airplane
역	station
정류장	a stop
지하철	subway
차 (not tea)	automobile
택시	taxi
터미널	terminal
갈아타다	to transfer
교통카드	transportation card
교통편	transportation
내리다	to get off
노선도	transportation route
노약자석	priority seating
도착하다	to arrive
방법	a plan
불편하다	to be inconvenient
승강장	platform
안전선	safety line
왕복	round trip
요금	fare
자리	seat
직접	directly
출구	exit
하차하다	to get off
건너다	to cross
교통	transportation
길	road
돌아가다	to return
동	east
똑바로	straight
막히다	to be blocked
맞은편	opposite side
멀다	to be far
밀리다	to be clogged
방향	direction
복잡하다	to be chaotic
비키다	to get out of the way
사거리	intersection
신호등	traffic light
약도	map
우회전	right turn
운전	driving
위험하다	to be dangerous
육교	overpass
조심하다	to be careful
주의하다	to be cautious
주차	parking
지도	map
지하도	underpass
직진	going straight
쪽 (not page)	direction
쭉	going straight
호선	railway line
횡단보도	crosswalk
