걸다	to hang
근처	near
넣다	to put in
놓다	to lay
두다	to place
밑	under
사이	distance
속	inner side
안	inside
앞	front
어디	where
옆	side
올려놓다	to put above
위	above
위치	position
있다	to have
가게	store
경찰서	police station
공원	park
극장	theater
꽃집	flower shop
노래방	karaoke
대사관	embassy
문방구	stationary store
미술관	art gallery
박물관	museum
밝다	to be bright
방송국	broadcasting station
백화점	Department store
병원	hospital
빵집	bakery
서비스센터	service center
서점	bookstore
세탁소	laundromat
수영장	swimming pool
술집	drinking bar
슈퍼마켓	supermarket
스키장	ski resort
시골	country
시장	market
식당	restaurant
약국	pharmacy
우체국	Post office
운동장	sport stadium
은행	bank
조용하다	to be quiet
주유소	gas station
집	house
카페	cafe
편의점	convenience store
학교	School
학원	academy
회사	office
PC방	internet cafe
