멋지다	to be fabulous
바지	pants
벌	pieces
블라우스	blouse
속옷	undergarment
스웨터	sweater
양복	suit
여성복	women's clothing
옷	clothing
원피스	one-piece
입다	to wear
잠옷	night gown
찢어지다	to get ripped
치마	skirt
코트	coat
티셔츠	t-shirt
한복	Korean traditional clothing
가방	bag
가지다	to have
구두	dress shoes
귀걸이	earrings
끼다 (clothes)	to put on
넥타이	neck-tie
들다	to hold
로션	lotion
매다	to tie
메다	to carry
모자	hat
목	neck
목도리	muffler
반지	pants
보석	jewel
선글라스	sunglasses
손수건	handkerchief
스카프	scarf
스타킹	stocking
슬리퍼	slippers
시계	watch
신다	to wear (feet)
신발	shoes
쓰다 (not write/use/bitter)	to wear (head)
안경	glasses
액세서리	accessory
양말	socks
우산	umbrella
운동화	running shoes
잃다	to lose
장갑	gloves
지갑	wallet
차다 (not kick)	to wear (waist/wrist)
켤레	a pair
핸드백	handbag
향수	perfume
화장품	cosmetics
