경기	competition
공	ball
던지다	to throw
운동	exercise
차다 (not wear)	to kick
치다	to hit
타다	to ride
팀	team
감상	looking and watching
드라마	drama
매표소	ticketing office
미술	the fine arts
상영	screening
연극	play
영화	movie
예매	advance purchase
음악	music
콘서트	concert
표	ticket
필름	film
관광	sightseeing
구경	tour
기념	commemoration
떠나다	to leave
묵다	to stay
비용	cost expense
비자	visa
세상	the world
숙박	lodge
안내	guidance
여권	passport
여행	travelling
예약	reservation
출국	departure of a country
게임	game
그리다	to draw
낚시	fishing
노래	song
독서	reading
등산	hiking
모으다	to save
바둑	Baduk (Korean chess)
보통	usually
사진	photograph
산책	a walk
악기	instrument
야영	camping
찍다	to take a picture
추다	to dance
취미	hobby
