가족	family
고모	paternal aunt
이모	maternal aunt
누나	older sister
동생	younger sibling
딸	daughter
아들	son
사촌	cousin
삼촌	paternal uncle
외삼촌	maternal uncle
아내	wife
남편	husband
어머니	mother
조카	nephew/niece
친척	relative
큰아버지	father's older brother
형	the older brother of a male
결혼	marriage
누구	who
룸메이트	roommate
부모	parent
부부	married couple
서로	with each other
소개	introduction
아무	anyone
애인	significant other
친구	friend
친하다	to be close
형제	sibling
계시다	to stay
나이	age
남자	man
여자	woman
노인	elderly
댁	home (formal)
드리다	to give
드시다	to eat
말씀	words
뵙다	to meet
부르다	to call
분(not time)	person
살	year
생신	birthday (formal)
아가씨	young lady
아기	baby
아이	child
아주머니	a lady
어른	adult
유명하다	to be famous
이름	name
잡수시다	to be eating
주무시다	to sleep (formal)
귀엽다	to be cute
다정하다	to be affectionate
똑똑하다	to be smart
마음	thought or idea
멋있다	to be cool
부지런하다	to be diligent
성격	personality
예쁘다	to be pretty
잘생기다	to be good-looking
착하다	to be kind
친절하다	to be kind and gentle
