간	saltiness
굽다	to grill
끓이다	to boil
다지다	to finely chop
만들다	to make
볶다	to stir-fry
비비다	to mix together
삶다	to boil
썰다	to slice
요리	cooking
젓다	to stir
튀기다	to fry
국	soup
김밥	kimbap
김치	kimchi
냉면	cold noodles
돈가스	pork cutlet
뜨겁다	to be hot
라면	ramen
반찬	side dishes
밥	cooked rice
불고기	bulgogi
삼계탕	samgyetang
샌드위치	sandwich
샐러드	salad
스테이크	steak
스파게티	spaghetti
우동	udon
자장면	black noodles
죽	porridge
초밥	sushi
카레	curry
피자	pizza
한식	Korean food
햄버거	Hamburger
고프다	to be hungry
덜다	to take a certain amount
따로	separately
메뉴	menu
배달	delivery
붓다	to pour
뷔페	buffet
시키다	to order
외식하다	to eat out
한식집	Korean restaurant
