동기	friend (same level)
동료	colleague
동창	alumni
사귀다	to make friends
사장	CEO
선배	senior
선생님	Teacher
싸우다	to fight
직원	employee
학생	student
가르치다	to teach
공부하다	to study
교과서	textbook
교실	classroom
권	book or volume (counter)
끝나다	to be finished
낙제	fail
노력하다	to try
단어	word
돕다	to help
떨어지다	to fall
메모하다	to note
문제	problem
묻다	to ask
발음	pronunciation
발전	progress
배우다	to learn
벌다	to make money
복습	to review
분필	chalk
붙다	to attach
빌리다	to borrow
사무실	office room
사업	business
사전	Dictionary
설명	explanation
수업	class
숙제	homework
스트레스	stress
시험	test, exam
쌓이다	to pile
알다	to know
알리다	to inform
어렵다	To be difficult
연습	practice
열심히	hard
외국어	foreign language
월급	salary
유학	study abroad
일 (not day/number)	work
읽다	to read
전공	major
준비	preparation
중요하다	to be important
직장	job
진학	entering a school of higher level
질문	question
쪽	page
찾다	to search
책	book
처리하다	to take care of
출장	business trip
틀리다	to be wrong
학기	semester, academic term
학년	grade
학비	tuition
한국어	Korean
한자	Chinese character
회의	meeting
휴게실	resting area
힘들다	to be tough
결석	absence
기숙사	dormitory
도서관	Library
뒤풀이	dinner party
방학	vacation period
뽑다	to pull
소풍	picnic
수학여행	school trip
아르바이트	part-time job
졸업하다	to graduate
하숙집	boarding house
학생증	student ID
다니다	to attend
바쁘다	to be busy
소식	news
실례	rude
예의	manners
지각하다	to be late
지내다	to get along
출근	going to work
취직	getting or finding work
휴가	break
