건물	building
계단	stairs
빌딩	building (western)
아파트	apartment
엘리베이터	elevator
오피스텔	studio apartment
정문	main gate
주택	house
지하	basement
층	floor
호	room number
거실	living room
거울	mirror
난방	heating
넓다	to be wide
달력	calendar
문	door
방	room
베란다	balcony
벽	wall
부엌	kitchen
불	light
서재	a study
열다	to open
옷걸이	hanger
욕실	shower room
창문	window
천장	ceiling
커튼	curtain
편안하다	to feel comfortable
편하다	to be at ease
화장실	bathroom
구하다	to look for
부동산 소개소	real estate agency
사다리차	ladder truck
이사	moving
집들이	housewarming
걸레	a floor cloth
다림질	ironing
닦다	to wash
더럽다	to be dirty
드라이클리닝	dry cleaning
말리다	to dry
맡기다	to leave
버리다	to throw away
빨다	to wash in the laundry
빨래	doing laundry
설거지	dishwashing
세제	detergent
쓰레기	trash
쓸다	to sweep
얼룩	stain
정리	organizing
지우다	to erase
집안일	housework
청소	cleaning
휴지	tissue paper
