떡국	rice-cake soup
떡볶이	spicy rice cake dish
떨어지다	to fall, to drop
또	again, once more
또는	or
똑같다	to be the same, to be equal (to)
똑바로	straight, upright
뛰다	to run, to jump
뜨겁다	to be scalding hot, to be passionate
뜻	meaning
라디오	a radio
라면	ramen noodles
러시아	Russia
로션	lotion
마늘	garlic
