가게	a store, a shop
가격	price (not 값)
가구	Furniture
가깝다	to be close, near
가끔	once in a while, sometimes
가다	to go
가르치다	to teach
가방	bag
가볍다	to be light-weight
가수	a singer
가슴	chest, heart, breasts
가요	a song (not 노...)
가운데	the middle, center (not 중)
가위	scissors
가을	fall, autumn
