보다	to see, look, watch
보이다	to be seen, to come in sight; to show, to display
보통	usually, normally
복숭아	a peach
복잡하다	to be crowded, complicated
볶다	to stir-fry
볶음밥	fried rice
볼펜	a ballpoint pen
봄	spring
봉지	a bag or packet
봉투	an envelope
뵙다	to meet (honorific)
부동산	property, real estate
부드럽다	soft, smooth
부르다	to call (out)
