빌딩	building (not 건...)
빌리다	to borrow, to rent
빠르다	to be fast, quick
빨간색	red
빨갛다	to be red
빨다	to wash
빨래	the laundry, the washing
빨리	fast, quickly (not 어..., 얼...)
빵	bread
빵집	a bakery
빼다	to pick out, exclude
사	death
사거리	intersection (4 way), a crossroads
사계절	four seasons
사고	An accident
