결혼식	a wedding (ceremony)
결혼하다	to get married
경기	a competitive match, competition
경기장	a stadium, an arena
경복궁	Gyeongbok Palace
경주	Gyeongju
경찰	the police, a police officer
경찰관	police officer
경찰서	A police station
경치	scenery, a view, landscape
경험	an experience
계단	stairs
계란	an egg
계산하다	to calculate, to balance
계속	continuously
