두다	to set
두부	tofu
둘	two (pure Korean)
둘째	second
뒤	back, the rear
드라마	a drama (television)
드리다	to give (honorific)
드시다	to eat (honorific)
듣기	listening
듣다	to listen, or take a class
들다	to hold, to carry, to lift
들어가다	to enter, to go in
들어오다	to come in, to enter
등	back (body part)
등산	hiking, mountain climbing
