데리다	to accompany
데이트	date (romantic)
도로	a road, a way (not 길)
도서관	a library
도시	a city
도와주다	to give help, aid, to give assistance
도움	help, aid, relief
도착하다	to arrive
도쿄	Tokyo
독서	reading
독일	Germany
돈	money
돌아가다	to return (somewhere)
돌아오다	to return, come back
돕다	to help
