미래	future
미리	beforehand, in advance, ahead of time
미술	fine arts
미술관	art museum, art gallery
미안하다	to be sorry, to be regrettable
미용실	a beauty parlor, hair salon
미터	a meter (distance)
민속촌	folk village
밀가루	flour
밀리다	to be overdue, left undone
밑	the bottom, below
바꾸다	to change
바뀌다	to be changed
바나나	banana
바다	the sea
