스페인어	Spanish
스포츠	sport
슬퍼하다	to be sad (long)
슬프다	to be sad
습관	a habit
시	city
시	hour, time, o'clock
시간	the time, mw. for hours
시간표	a timetable
시계	a clock, a watch
시골	the countryside
시끄럽다	to be noisy, loud
시내	the city, downtown
시다	to be sour
시디	a CD
