번호	a number (not 숫...)
벌다	to earn money
벌써	already
벗다	take off, undress
벚꽃	sakura (cherry blossoms)
베이징	Beijing
베트남	Vietnam
벽	a wall
변호사	a lawyer
별	a star
별로	especially, particularly (used in negative sentences)
병	mw. for jars, bottles
병	an illness, disease
병원	a hospital
보내다	to send
