맵다	to be spicy
머리	the head, hair
먹다	to eat
먼저	first; ahead
멀다	to be far, distant
멋있다	to be stylish, cool
메뉴	menu
메다	to wear (on one's shoulders)
메모	memo, note
메세지	message, voice mail etc.
멕시코	Mexico
며칠	a day of the month, a few days
면도	a shave, shaving
명	mw. for people
명절	a big holiday, festival (not 축...)
