신문	a newspaper
신발	footwear, shoes
신청서	application form
신청하다	to apply for, request
신호등	traffic lights/signal lights
실례하다	to be excused
실수	a mistake
싫다	to be unpleasant, disagreeable, undesirable
싫어하다	to hate, to dislike
심하다	to be severe
십	ten (Sino-Korean)
십이월	December
십일월	November
싱겁다	to taste bland/flat, unsalted
싸다	to be cheap
