고치다	to repair, to fix
고프다	to be hungry (verb alone)
고향	one's hometown
곧	right away, soon, immediately
골목	a back street, an alley
골프	golf
곱다	to be beautiful, nice (not 예..., 아...)
곳	a place
공	a ball
공간	a physical space
공기	the air, the atmosphere
공무원	a public servant, government employee
공부	study, learning
공연	a public performance
공원	a park (not 박)
