그곳	that place
그날	That day
그냥	just
그동안	meanwhile, in the meantime, during that time
그때	at that time, back then
그래	that's right, yes, of course, (not 응)
그래서	so, therefore
그램	gram
그러나	but
그러니까	therefore (not 그래..., 그런...)
그러면	then, in that case (full)
그런	such,like that
그런데	but, however, by the way (not 그래..., 그렇...)
그럼	then, in that case (abbr.)
그렇다	to be so
