사과	an apple
사다	to purchase, buy
사람	a person, the people
사랑하다	to love
사무실	an office (room)
사물	a thing, object, matter
사십	forty (Sino-Korean)
사업가	business person
사용하다	to use
사원	an employee (not 직..., not 종...)
사월	April
사이	a space, an interval,a gap
사이다	a clear soda
사이즈	size (not 크...)
사인하다	to sign
