삼월	March
삼촌	an uncle (father's side)
상자	a box
상처	a wound
상품	a prize, trophy
새	new
새	a bird
새로	newly
새벽	dawn, daybreak
새우	shrimp
색	a color (short)
색깔	a color (long)
샌드위치	a sandwich
생각하다	to think, to consider
생기다	to happen, come to pass, occur, come about
