대사관	an embassy
대학	college, university (abbr.)
대학교	college, university
대학생	a University student
대학원	a graduate school
대학원생	graduate student
대한민국	The Republic Of Korea
대화	conversation, a dialogue (not 이...)
대회	conference, convention, tournament
댁	home (honorific)
더	more
더럽다	to be dirty
덕분	thanks to
덥다	to be hot (used for weather)
덮다	to close (a book, lid)
