무역	trade
무용	dance, dancing (not 춤)
무척	very, highly, exceedingly, extremely (not 아..., 몹..., 매..., 너...)
문	a door
문구점	a stationary store
문장	a sentence
문제	a question, a problem
문화	culture
묻다	to ask (short)
물	water
물건	a thing, an object
물론	of course, needless to say
물어보다	to ask, to inquire (not 묻.., 질...)
뭐	what
미국	The United States
