목욕하다	to bathe
목적	aim, purpose, goal
몸	the body
몸살	illness from fatigue, body aches
못-	cannot
못하다	to be bad, to be poor (at), to be weak (in)
몽골	Mongolia
무	white radish
무겁다	to be heavy
무궁화	national flower of Korea
무료	free of charge
무릎	a knee
무섭다	to be scary
무슨	what kind of
무엇	what (not 뭐)
