서쪽	west
선물하다	to give a present, gift
선배	senior, elder
선생님	a teacher
선수	(sport / game) player, athlete
선택하다	to choose (not 고..., 뽑...)
선풍기	an electric fan
설거지하다	to wash dishes
설날	Lunar New Year's Day
설렁탕	ox bone soup
설명하다	to explain
설악산	Mt. Seorak
설탕	sugar
섬	an island
성	last name
