동네	one's neighborhood, a village
동대문시장	Dongdaemun market
동물	an animal
동생	a younger sibling
동아리	a club, group
동안	while, during
동양	Eastern
동전	a coin
동쪽	east
돼지	a pig
돼지고기	pork
되다	to be, become
된장	soybean paste
된장찌개	soybean paste stew
두껍다	to be thick, to be bulky
