눕다	to lie down
뉴스	a news program, the news
뉴욕	New york
느끼다	to feel, realize
느낌	feeling, impression
느리다	to be slow (not 천...)
늘	always (not 항..., 언...)
늘다	increase, improve
능력	ability
늦다	to be late
님	sir, ma'am (honorific)
다	all
다녀오다	to go to a place and come back
다니다	to come and go, to attend, to go regularly
다르다	to be different
