교과서	textbook
교수	a professor
교실	a classroom
교통	traffic, transportation
교통사고	a car/traffic accident
교회	a church
구	nine
구경하다	to sight-see, to look around
구두	(dress) shoes
구름	a cloud
구십	Ninety
구월	September
구하다	to seek (homes, jobs, etc)
국	soup
국내	domestic, internal
