반지	a ring
반찬	a side dish
받다	to receive, to accept
발	a foot
발가락	toe
발음	pronunciation
발표	presentation, an announcement
밝다	to be bright
밤	the night, the evening (not 저녁)
밥	cooked rice, a meal
방	a room
방법	method, a way
방송	a broadcast, broadcasting
방송국	broadcasting company, TV station
방학	school holidays, a vacation
