낚시	a fish hook, fishing
날	a day
날씨	the weather
날짜	a date
남기다	To leave behind/to save
남녀	unisex
남대문시장	Namdaemun market
남동생	a younger brother
남미	South america
남산	Namsan
남자	a man, male
남쪽	south
남편	a husband
남학생	a male student
낮	daytime, daylight
