녹색	green (not 초...)
녹차	green tea
놀다	to hang out, to play
놀라다	to be surprised, to be amazed
농구	basketball
높다	to be high, tall
놓다	to place, to put
누구	who
누나	an older sister (term used by males only)
누르다	to press, to push
눈	an eye
눈	snow
눈물	A tear
눈사람	Snowman
눈싸움	a snowball fight
