배려	consideration
배출	discharge
배출	production
보급	dissemination
보람	reward
보상	compensation
북제	reproduction
분리	separation
분석	analysis
비난	criticism
빈곤	poverty, lack
사교육	private education
사례	precedent
사례	reward
사이트	site
상황	situation
생계	living
생명력	life force, vital force
선입견	prejudice
선정	selection
설립	establishment
성향	tendency
소신	principle
수명	life expectancy, lifespan
시도	attempt
시련	ordeal
시설	facilities
안목	discerning eye
안정	stability
안정	tranquility
앨범	photo album, CD
엉망	wreck
여건	conditions
열의	enthusiasm
예외	exception
오염	pollution
온라인	online
요구	demand
운명	destiny
운명	death
위기	crisis
위협	threat
유전	heredity
장르	genre
재충전	recharge
