능률	efficiency
능통자	linguist; someone fluent in a language
늦잠	oversleeping
늦잠꾸러기	a sleepyhead, late riser
다수결	majority vote, decision
다행	sth fortunate, good
단념	abandonment
단백질	protein
단위	unit, measure
단체	organization, association; group, party
단풍	autumn leaves
담합	price-fixing, collusion
답변	answer, reply, response
답사	field investigation, on-site survey
당국	the authorities
당락	election results
당부	a request
당사자	a person directly involved in sth
당선	election (not... 거)
당시	then, at the time, in those days
당일	the very day of
대기	waiting
대두	the rise of...
대리	a substitute
대보름	the day of the first full moon of the year
대비하다	to prepare for
대비책	preparations, provisions, safety net
대상	a target
대신	instead of
대안	an alternative
대용품	a substitute (not ...리)
대중	the public
대책	action, measures, steps
대표	representative
대형	huge, large in size
댓글	a comment
도깨비	goblin
도둑	thief
도로변	sidewalk
도자기	pottery, ceramics
도전	a challenge
독	poison
독자	a reader
독점	exclusive; a monopoly
돌파구	breakthrough
동력	power, electricity
동료	colleague, co-worker
동반으로	accompanied by
동참	participation
동호회	club, society
두려움	fear, dread, terror, horror (not  공포감)
뒷받침	support, backup
뒷전	sth put on the backburner, pushed to the side
등기	registered mail
등산객	mountain climber
등장	an appearance (in a movie, play); advent
땅	ground, land, soil
또래	peer (group), sb of the same age
마감	deadline
마무리	finish, completion
마법	a spell; sorcery, withcraft
마술사	a magician
마을	a village, town
만류	dissuasion
만족	satisfaction
만족도	level of satisfaction
맛집	famous and delicious restaurant
맞벌이	dual income
맛수	match, rival
매력	charm, appeal
매립지	landfill
매연	exhaust fumes
매장	a store; a burial
매장량	reserves
매출	sales
맨홀	manhole
먹이	food, prey
먼지	dust
면	face, side, facet, aspect
면접	interview
면제	exemption, immunity
멸종	extinction
명곡	classic, masterpiece (music)
명상	meditation
명색	position, title (one's job)
모방	imitation, copy
모순	contradiction
모집	recruitment
모험	adventure, risk
목록	list; inventory
목숨	life (not 생명)
목적지	destination
목축	livestock farming, ranching
목표	goal, aim, target
무늬	pattern
무대	stage
무리	sth impossible, too much, beyond one's ability
무속	shamanism
무인의	unmanned, uninhabited
무형의	intangible
문명	civilization
문물	culture, cultural artifacts
뒷전에서	behind a person's back
