관측	observation
교사	teacher
교육	education
교환	exchange
구매	purchase (not ...입)
구매자	purchaser, buyer
구성원	a member (of a group or organization)
구입	purchase (not ...매)
구조	rescue, help
구조대	rescue team
구직자	job seeker
구체적	concrete, specific
국가	nation
국경	border
국내외	domestic and foreign
국책	national policy
귀국	trip back to one's home country
귀농	taking up farming
귀추	trend
귀화	naturalization
규모	scale, size
규범	standard, norms
규율	discipline; rule, regulation
규제	regulation
균	germs, bacteria (short ver.)
그늘	shade
그린벨트	a green belt, green zone (not ...대)
그물	net
극단	an extreme
극복하다	to overcome
근심	worry, concern
근거	grounds, basis, proof
금기	taboo
근무	work, duty
글쓴이	writer
금전적	monetary
긍정	affirmation, a yes
기관	institution
기념	celebration
기능	function
기대	expectation
기본	the basics
기부	donation
기쁨	joy
기상	climate
기성 세대	the older generation
기술	skill, technique, technology
기술력	technical skills
기억력	memory
기업	enterprise
기업가	entrepreneur
기운	energy, vitality, strength
기존	existing
기준	standard
기한	time frame, time period
기호	sign, symbol
기회	opportunity, chance
긴장	tension
긴장감	feeling of tension
길이	length
난청	hard of hearing
날개	wing
남	other people; another person
남용	abuse
낭만	romance
낭비	waste
내면	interior, inside
내실	internal stability
내외	inside and outside
내의	undergarments
노동	labor
노동력	workforce
노동자	laborer
노력	effort
노사	labor and management
노선	route
노약자	senior citizens and the disabled
노조	labor union
노화	aging
녹지대	a green belt, green zone (not ...트)
논거	basis of an argument
논란	controversy
논리	logic, reasoning
논점	point (get sb's point)
놀이	game
농가	farmhouse
농경	agriculture
농민	farmer
농약	pesticides
농어촌	rural; farming and fishing
농작물	crops
농촌	the countryside
높이	height
뇌	brain
뇌혈관	blood vessel in the brain
눈높이	eye level
눈덩이	snowball
능동적	active
능률	efficiency
