발생하다	happen
발휘하다	demonstrate
밝다	bright
밝히다	light up
밟다	step on
밟히다	be stepped on
밤새우다	stay up all night
방문하다	visit
방치하다	neglect
뱉다	spit out
버려지다	be left out
버티다	endure
번갈다	by turns
벌리다	open
벗기다	take off
벗어나다	get out of
베다	cut
변하다	change to/into
병들다	get sick
보살피다	look after
보이다	be seen, show
부딪히다	be bumped into
부러지다	be broken
부서지다	be broken
부치다	send
불어나다	increase
불태우다	ignite a fire
붐비다	be crowded with
붙이다	attach
붙잡다	hold on (to)
