끌리다	drag, be drawn
끓다	boil
끼어들다	cut in on
끼우다	put in
나누다	divide
나뉘다	be divided
나다	grow
나서다	take the lead
나아가다	advance
나아지다	improve
나타나다	appear
날다	fly
날리다	fly
날아가다	fly away/off
날아다니다	fly about
날아오르다	fly up
남기다	leave
남다	be left
낫다	recover
낭비하다	waste
낮추다	lower
낳다	give birth to
내놓다	put out
내다	give
내려다보다	look down
내리다	lower, get off
내버려두다	leave as is
내주다	give, offer
내쫓다	kick sb out, dismiss
널다	hang
