인생	life (one's history)
인쇄	printing
일반적	general
일부	part
일상적	daily
일생	one's whole life
임시	temporary
입장료	admission
자격	qualification
자극적	exciting
자세	posture
자신감	self-confidence
자연적	natural
자원	resources
자존심	one's pride
잔소리	nitpicking
장기적	long-term
장사	business
재산	property
재주	talent
재해	disaster
저장	storage
적극적	enthusiastic
전망	prospect
전문가	expert
전문적	specialized
전문점	specialty store
전부	all
전통	tradition
전통적	traditional
