절반	half
절약	saving
절차	procedure
정상적	normal
정성	give from the heart
정신적	mental
정의	justice
정치	politics
정치인	politician
정치학	political science
제도	system
제안	proposal
제품	product
제한	limit
조리법	recipe
조언	advice
조절	control
존경	respect
주제	subject
주택	house
줄거리	summary/plot
중고	secondhand article
증상	symptom
지식	knowledge
지역	area
지위	position
지출	expense
지휘자	conductor
진실	truth
진행	progress
