토하다	vomit
튀기다	fry
틀다	turn on
틀리다	be wong
파다	dig
펼치다	spread out
포기하다	give up
표현하다	express
풀다	untie
풀리다	come untied
피하다	avoid
합치다	unite
해결하다	settle
해내다	accomplish
해보다	try
향하다	face
허락하다	permit
헤매다	roam around/about
헤어지다	part from
헤엄치다	swim
혼내다	give sb a scolding
활용하다	use
훔치다	steal
흐르다	flow
흔들다	shake
흔들리다	shake
흘러가다	flow
흘리다	spill
힘내다	pluck up one's heart
힘쓰다	strive
