붙잡히다	be caught
비다	empty
비비다	rub
비우다	empty out
비추다	light up
비치다	be reflected in
비키다	step aside
빌다	pray
빗다	comb one's hair
빛나다	shine
빠뜨리다	throw into
빠지다	fall/drop out
빨개지다	blush
빻다	crush
빼놓다	omit
빼다	subtract
빼앗기다	be deprived of
빼앗다	take
뺃다	reach
뽑다	pull out/off/away
뽑히다	be pulled out
뿌리다	sprinkle
삐다	sprain
사귀다	go out with
사라지다	disappear
사로잡다	captivate
삭제하다	delete
살리다	save, use
살아가다	make a living
살아나다	revive
