이해하다	understand
익다	boil, grow
익히다	boil
인상하다	raise
인정받다	get recognized
인정하다	acknowledge
인하다	be caused by
일어나다	get up
일으키다	raise sb up
읽히다	be read, read
입히다	dress
잇다	connect
자라다	grow up
작아지다	become smaller
잘되다	go on well
잠그다	lock
잠기다	be locked
잠들다	fall asleep
잡다	catch
잡수다	eat
잡아먹다	prey on
잡히다	be caught
재우다	put/send somebody to bed
적립되다	earn
적히다	be written down
전달하다	deliver
전망하다	rake, prospect
전하다	deliver
접다	fold
접히다	be folded
