질기다	tough
짙다	thick
차분하다	calm
창피하다	shame
충분하다	enough
캄캄하다	very dark
커다랗다	big
탁하다	murky
특별하다	special
특이하다	unusual
튼튼하다	solid
편리하다	convenient
편안하다	comfortable
편찮다	sick
평등하다	equality
평범하다	ordinary
포근하다	warm, cozy
풍부하다	rich
한가하다	free
해롭다	harmful to
험하다	rough
화려하다	fancy
화창하다	bright
확실하다	sure
환하다	bright
황당하다	absurd
훌륭하다	superb
흐릿하다	dim
흔하다 	common
희미하다	dim
