식히다	cool down
신기다	put on somebody
신괴하다	trust
싣다	load, print
실리다	be put
실패하다	failure
심다	plant
싸우다	fight
쌓다	pile up
쌓이다	pile up
쏘다	shoot
쏟아지다	pour
쓰러지다	collapse
쓸다	sweep
씌우다	cover
씻기다	be washed, wash
아끼다	save, use
안기다	hug
앉히다	sit
알아듣다	understand
알아맞히다	guess right
알아보다	check
알아주다	recognize
앞당기다	advance
앞두다	have something ahead
야단맞다	be scolded roundly
야단치다	give a good scolding
어기다	break
어울리다	match
얻다	get
