뜯다	tear off
뛰다	run
마련하다	prepare
마무리하다	finish
마음먹다	make up one's mind
마주치다	come across
막다	block up
막히다	be clogged with
말리다	dry
맛보다	taste
망가뜨리다	break down
망가지다	be destroyed
망설이다	hesitate
망치다	spoil
망하다	go under
맞추다	adjust
맞히다	guess right
맡기다	leave, check
맡다	smell
맡다	take on
매다	tie up
맺다	bear, pay off
머무르다	stay
머뭇거리다	hesitate
먹히다	be eaten
멈추다	stop
멍들다	get a bruise
메다	choke
모색하다	seek
모으다	gather
