뒤집다	upset, flip over
드러나다	reveal itself
들다	hold
들르다	drop by
들리다	be heard
들어서다	go in, go up
들어주다	grant
들여다보다	look into
들이다	let sb into
따다	pick
따라다니다	follow
따르다	follow
따지다	nitpick
때리다	hit
떠나다	leave
떠오르다	rise up
떠올리다	recall
떨리다	shake
떨어뜨리다	drop by
떨어지다	fall behind
떼다	take sth off
뚫다	dig
뛰어가다	run
뛰어나다	outstanding
뛰어내리다	jump
뛰어넘다	jump over
뛰어다니다	run around
뛰쳐나가다	run out
뜨거워지다	become hot
뜨다	float
