질병	disease
집들이	housewarming party
집중력	concentration
짜중	irritation
찜통더위	sweltering heat
차례	order
참을성	patience
채식	vegetarian diet
채식주의자	vegetarian
책임	responsibility
철학	philosophy
첫인상	first impression
체격	build
체온	body temperature
체중	weight
체험	experience
초보자	beginner
최대	maximum
최선	one's best
최신	the newest
최저	minimum
최종	the final
최초	the first
최후	the last
추가	addition
추억	memory
추위	the cold
출신	someone's ancestry
충격	impact
친환경	eco-friendly
