얻어먹다	beg one's food
얼다	freeze
얼리다	freeze
없애다	remove
엎드리다	face down
여기다	consider
여쭈다	ask
연기하다	postpone
연장하다	extend
염려하다	worry about
예상하다	anticipate
예측하다	predict
오가다	come and go
오르내리다	go up and down
오르다	climb up
올리다	raise
옮기다	move
외우다	memorize
외치다	cry out
위하다	care for
응모하다	enter for
의심하다	doubt
의하다	by
이기다	win
이끌다	lead
이동하다	move
이루다	make
이루어지다	be achieved
이름나다	well-known
이어지다	continue
