모자라다	be short of
모집하다	recruit
몰다	steer
몰라보다	fail to recognize
몰려들다	crowd into/around
몰리다	be cornered
무너지다	collapse
무서워하다	fear
묵다	stay
묶다	tie up
묻히다	dredge
물다	bite
물러서다	step back
물려주다	bequeath
물리다	be bitten
미끄러지다	slip on
미루다	postpone
미치다	reach
믿다	believe
밀다	push
밀려오다	crowd into
바뀌다	be changed
바닥나다	run out
바라보다	look at
바로잡다	straighten
바르다	cover
반영하다	reflect
반짝이다	glitter
반하다	fall in love
받아들이다	accept
