젓다	stir
정리하다	tidy
젖다	get wet
제공되다	be offered
제외하다	exclude
제출하다	submit
조르다	pester
졸다	doze
졸리다	sleepy
좁히다	narrow
주고받다	exchange
주어지다	be given
죽이다	kill
줄어들다	decrease
줄이다	reduce
줍다	pick up
중단하다	stop
지나가다	pass by
지나치다	pass by
지내다	live
지다	lose
지르다	yell
지우다	erase
지치다	be/get tired
지켜보다	wait and see
지키다	obey
집다	pick up
짓다	build
쫓기다	be pursued
쫓다	pursue
