우선	first of all
우수성	superiority
우승	victory
우울증	depression
우정	friendship
우주	the universe
운명	destiny
원인	cause
위로	consolation
위반	violation
은혜	favor
응원	cheer
의견	opinion
의논	discussion
의무	obligation duty
의사소통	communication
의식주	food, clothing, shelter
의욕	desire
의지	will
이국적	exotic
이기적	selfish
이용자	user
이익	profit
이자	interest
이해력	understanding
이해심	understanding
인간성	humanity
인간적	humane
인내심	patience
인상적	memorable
