소심하다	timid
소용없다	be useless
소중하다	precious
속상하다	upset
손쉽다	easy
솔직하다	honest
습하다	humid
시리다	cold
신기하다	amazing
신비롭다	mysterious
신선하다	fresh
신중하다	caution
심각하다	serious
심하다	heavy
싱겁다	bland
싱싱하다	fresh
쌀쌀하다	chilly
쑬스럽다	bashful
쓸모없다	be useless
쓸쓸하다	lonely
씩씩하다	energetic
아깝다	valuable
아쉽다	sorry
안전하다	safe
안타깝다	sad
알맞다	proper
얇다	thin
얌전하다	gentle
얕다	shallow
어색하다	awkward
