가계부	household ledger
가난	poverty
가뭄	drought
가사	housework
가상	imagine
가입	initiation
가족적	in a family way
가축	livestock
가치	value
각각	each
각자	respectively
각종	various
간격	interval, space out
간접	indirectness
간판	signboard
갈등	conflict
감각	sensation, sense
감동적	moving
감상	appreciation
감정	feeling, emotion
감탄	admiration
강변	riverside
강수량	precipitation
강연	lecture
강조	emphasis
개강	lectures begin on
개발	development
개방적	open
개선	improvement
개성	individuality
