부분	part
부상	injury
부상자	injured person
부서	department
부자	rich person
부작용	side effect
부잣집	rich family
부장	head of department
부정적	negative
부주의	carelessness
분량	amount
분리수거	separate collection
분실	loss
분위기	atmosphere
불경기	depression
불만	dissatisfaction
불면증	insomnia
불빛	light
불안	uneasiness
불안감	anxiety
불평	complaint
불행	misfortune
비교	comparison
비교적	comparatively
비만	obesity
비용	cost
빚	debt
사건	incident
사고방식	one's way of thinking
사교적	sociable
