쫓아내다	drive somebody out
쫓아다니다	follow somebody around
찌다	gain weight
찍히다	get stamped
찢기다	be torn
찢다	tear
찢어지다	be torn
차다	kick
차리다	prepare, recover senses
차지하다	take possession of
참다	bear
참석하다	attend
찾아내다	find out
찾아다니다	look for
찾아보다	look for
찾아뵈다	visit
채우다	fill in/up
챙기다	pack up
처리하다	handling
쳐다보다	look at
추진하다	propel
치다	hit
치우다	tidy up
커지다	bigger/larger
켜지다	light
키우다	raise
태우다	burn
택하다	choose
터지다	burst
털다	dust off/down
