가꾸다	raise
가라앉다	sink
가리다	hide
가리키다	piont
간섭하다	interfere
갇히다	be shut up
갈다	change
갈아입다	change
감기다	be twined around
감다	close eyes
감추다	hide
갖추다	prepare
갚다	repay
개다	clear up
개발하다	develop
거두다	harvest, gather
거절하다	refuse
거치다	go through
건네다	hand, pass
걸다	hang, bet
걸리다	be hung
겪다	experience
견디다	bear
결심하다	decide
겹치다	overlap
고르다	choose
고민하다	trouble
고생하다	have trouble
고호하다	accuse
고치다	repair
