가늘다	thin
가능하다	possible
가렵다	itchy
간단하다	simple
강하다	strong
갸름하다	slender
거칠다	rough
건조하다	dry, arid
게으르다	lazy
경솔하다	rash
고유하다	inherent
곧다	straight
공손하다	polite
관계없다	no skin off one's nose
괴롭다	painful
굉장하다	wonderful
굵다	thick
궁금하다	curious about
귀중하다	precious
귀찮다	troublesome
귀하다	rare
그립다	miss
급하다	urgent
깊다	deep
까다롭다	particular about
깐깐하다	strict
깔끔하다	neat
낡다	old, worn
낯설다	unfamiliar
너그럽다	generous
