담당하다	take charge of
당기다	pull, draw
당하다	suffer
닿다	touch
대다	touch, supply
대신하다	replace
대하다	face, treat
던지다	throw
덜다	lessen
덮이다	be covered with
데다	burn oneself
데려오다	bring
데우다	heat up
데치다	blanch
도망가다	make one's getaway
돌다	turn
돌려보내다	return
돌려주다	give back
돌리다	turn, work
돌보다	look after
돌아다니다	get around
돌아보다	look back
돌아서다	turn away
되돌리다	restore
되돌아보다	look back
되살아나다	revive
두다	put
두려워하다	be afraid of
둘러보다	look around
뒤떨어지다	fall behind
